name,lang,id,n,size(B),cpu-time(s),mem(KB),status,make-time(s),elapsed-time(s),threefour(s),onetwo(s),cpu-time-mean(s),cpu-time-variance,cpu-time-sample
binarytrees,icx,8,21,607,19.648,295698432,0,4.32,19.660,0.000,0.000,0.000,0.000,1
binarytrees,icx,8,21,607,19.698,295702528,0,4.32,19.710,0.000,0.000,0.000,0.000,1
binarytrees,icx,8,21,607,19.822,295706624,0,4.32,19.836,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,4,7,846,0.017,12353536,0,95.40,0.311,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,4,21,846,5.567,305565696,0,95.40,5.582,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,4,21,846,5.612,305438720,0,95.40,5.619,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,4,21,846,5.670,315101184,0,95.40,5.675,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,4,21,846,5.544,305434624,0,95.40,5.550,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,4,21,846,5.551,305442816,0,95.40,5.556,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,4,21,846,5.640,312471552,0,95.40,5.647,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,4,21,846,5.985,325824512,0,95.40,5.992,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,4,21,846,5.699,315068416,0,95.40,5.705,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,4,21,846,5.538,305352704,0,95.40,5.545,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,4,21,846,5.573,305446912,0,95.40,5.578,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,4,21,846,5.544,305446912,0,95.40,5.551,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,4,21,846,5.550,305364992,0,95.40,5.556,0.000,0.000,0.000,0.000,1
binarytrees,node,7,21,458,28.713,1058230272,0,0.11,18.227,0.000,0.000,0.000,0.000,1
binarytrees,node,7,21,458,28.496,1129635840,0,0.11,16.099,0.000,0.000,0.000,0.000,1
binarytrees,node,7,21,458,28.672,1128689664,0,0.11,16.340,0.000,0.000,0.000,0.000,1
binarytrees,node,7,21,458,28.291,989466624,0,0.11,16.308,0.000,0.000,0.000,0.000,1
binarytrees,node,7,21,458,28.349,987860992,0,0.11,16.158,0.000,0.000,0.000,0.000,1
binarytrees,node,7,21,458,28.452,1122955264,0,0.11,16.421,0.000,0.000,0.000,0.000,1
binarytrees,node,7,21,458,28.027,1076969472,0,0.11,15.989,0.000,0.000,0.000,0.000,1
binarytrees,node,7,21,458,28.472,1127575552,0,0.11,16.260,0.000,0.000,0.000,0.000,1
binarytrees,node,7,21,458,28.210,987508736,0,0.11,16.187,0.000,0.000,0.000,0.000,1
binarytrees,node,7,21,458,28.591,1129852928,0,0.11,16.106,0.000,0.000,0.000,0.000,1
binarytrees,node,7,21,458,28.794,1128169472,0,0.11,16.754,0.000,0.000,0.000,0.000,1
binarytrees,node,7,21,458,28.400,1125703680,0,0.11,16.213,0.000,0.000,0.000,0.000,1
binarytrees,icx,2,7,816,0.014,5570560,0,4.92,0.159,0.000,0.000,0.000,0.000,1
binarytrees,icx,2,21,816,5.423,176463872,0,4.92,1.719,0.000,0.000,0.000,0.000,1
binarytrees,icx,2,21,816,5.415,176504832,0,4.92,1.712,0.000,0.000,0.000,0.000,1
binarytrees,icx,2,21,816,5.397,176324608,0,4.92,1.724,0.000,0.000,0.000,0.000,1
binarytrees,icx,2,21,816,5.408,176615424,0,4.92,1.719,0.000,0.000,0.000,0.000,1
binarytrees,icx,2,21,816,5.441,176533504,0,4.92,1.752,0.000,0.000,0.000,0.000,1
binarytrees,icx,2,21,816,5.403,176717824,0,4.92,1.705,0.000,0.000,0.000,0.000,1
binarytrees,icx,2,21,816,5.399,176607232,0,4.92,1.711,0.000,0.000,0.000,0.000,1
binarytrees,icx,2,21,816,5.404,176418816,0,4.92,1.729,0.000,0.000,0.000,0.000,1
binarytrees,icx,2,21,816,5.414,176578560,0,4.92,1.711,0.000,0.000,0.000,0.000,1
binarytrees,icx,2,21,816,5.410,176648192,0,4.92,1.705,0.000,0.000,0.000,0.000,1
binarytrees,icx,2,21,816,5.416,176644096,0,4.92,1.717,0.000,0.000,0.000,0.000,1
binarytrees,icx,2,21,816,5.409,176422912,0,4.92,1.711,0.000,0.000,0.000,0.000,1
binarytrees,gcc,8,7,607,0.004,2412544,0,2.35,0.018,0.000,0.000,0.000,0.000,1
binarytrees,gcc,8,21,607,21.023,293879808,0,2.35,21.032,0.000,0.000,0.000,0.000,1
binarytrees,gcc,8,21,607,20.796,293871616,0,2.35,20.803,0.000,0.000,0.000,0.000,1
binarytrees,gcc,8,21,607,20.988,293875712,0,2.35,20.995,0.000,0.000,0.000,0.000,1
binarytrees,gcc,8,21,607,20.995,293609472,0,2.35,21.003,0.000,0.000,0.000,0.000,1
binarytrees,gcc,8,21,607,20.944,293613568,0,2.35,20.951,0.000,0.000,0.000,0.000,1
binarytrees,gcc,8,21,607,21.057,293605376,0,2.35,21.065,0.000,0.000,0.000,0.000,1
